"rank","method","acc1_imp_o_avg","acc1_imp_o_best","acc5_imp_o_avg","acc5_imp_o_best","nll_imp_o_avg","nll_imp_o_best","ece_imp_o_avg","ece_imp_o_best"
1,"cal_average + bc",0.0320753846153846,0.0154730769230769,0.0161916923076923,0.00976923076923078,-0.0686409771442413,-0.138380183623387,0.0401371467428712,0.00156299332873184
2,"cal_average + m1",0.0320684615384616,0.0154661538461538,-0.00716753846153844,-0.01359,-0.979137814961947,-1.04887702144109,-0.0974116852650275,-0.135985838679167
3,"cal_average + m2",0.0320676923076923,0.0154653846153846,0.013204,0.00678153846153847,-0.975667563768534,-1.04540677024768,-0.108245918383965,-0.146820071798104
4,"grad_bc + bc",0.03432,0.01784,0.0181750000000001,0.01124,0.00016753375530254,-0.0369831323623656,0.0239341966807843,0.00622386485338217
5,"grad_m1 + bc",0.03684,0.0203599999999999,0.018275,0.01134,0.0100977271795274,-0.0270529389381408,0.0290367230772973,0.0113263912498952
6,"grad_m1 + m1",0.03606,0.0195799999999999,0.0145750000000001,0.00764000000000009,-0.167852774262428,-0.205003440380096,-0.0886716432869434,-0.106381975114346
7,"grad_m1 + m2",0.03572,0.0192399999999999,0.0189550000000001,0.01202,-0.138743177056313,-0.175893843173981,-0.0854558832943439,-0.103166215121746
8,"grad_m2 + bc",0.0325530769230769,0.0159507692307692,0.0159016923076923,0.00947923076923077,0.0470022306992458,-0.0227369757799002,0.0372571374934454,-0.00131701592069401
9,"grad_m2 + m1",0.0333023076923077,0.0167,0.0139301538461539,0.00750769230769232,-0.101115185480851,-0.170854391959997,-0.0525210012610142,-0.0910951546751536
10,"grad_m2 + m2",0.0332953846153846,0.0166930769230769,0.0162955384615385,0.00987307692307693,-0.0936445525059333,-0.163383758985079,-0.0530959069728851,-0.0916700603870245
11,"logreg + bc",0.0373264,0.0211192,0.017044,0.0107376,0.0628807520866394,-0.00652847766876221,0.0785395344719291,0.0402666270360351
12,"logreg + m1",0.0281496,0.0119424,0.00638400000000002,7.76000000000065e-05,-0.0691268253326416,-0.138536055088043,0.0458804674446583,0.00760756000876431
13,"logreg + m2",0.0309152,0.014708,0.0143544,0.00804800000000002,0.0138034725189209,-0.0556057572364807,0.0746735118329526,0.0364006043970585
14,"logreg_torch_no_interc + bc",0.0344664,0.0182592,0.0163656,0.0100592,0.0500734972953796,-0.019335732460022,0.0815082325041295,0.0432353250682354
15,"logreg_torch_no_interc + m1",0.0354136,0.0192064,0.0164696,0.0101632,0.0599345541000366,-0.00947467565536498,0.0947933148220182,0.0565204073861242
16,"logreg_torch_no_interc + m2",0.035104,0.0188968,0.0162088,0.00990240000000001,0.0571965336799622,-0.0122126960754394,0.0936070646904409,0.0553341572545469
17,"baseline - TemperatureScaling",0.0285161538461539,0.0119138461538462,0.014144,0.00772153846153848,0.207045291478817,0.137306084999671,0.0504977032542229,0.0119235498400835
